plan_id,invoice_id,customer_id,customer_name,start_date,end_date,original_amount,installments,installment_amount,installments_paid,remaining_balance,status,created_by,handler_id,next_installment_date,last_payment_date
PLAN000326,INV0008712,CUST000872,L&T Fin Solutions,2025-02-19,2025-06-19,689534.53,4,172383.63,1,517150.90,Active,Pooja Gupta,REP000013,2025-04-20,2025-03-27
PLAN000327,INV0008755,CUST000876,Bajaj Fin Solutions,2025-03-27,2025-06-27,29375.28,3,9791.76,0,29375.28,Active,Meena Mishra,REP000037,2025-04-26,
PLAN000328,INV0008804,CUST000881,Tata Power Solutions,2025-04-12,2025-06-12,213234.76,2,106617.38,0,213234.76,Active,Anil Mishra,REP000025,2025-05-12,
PLAN000329,INV0008811,CUST000882,Reliance Power Solutions,2025-04-06,2025-07-06,258517.88,3,86172.63,0,258517.88,Canceled,Anil Joshi,REP000045,,
PLAN000330,INV0008815,CUST000882,Reliance Power Solutions,2025-02-11,2025-05-11,333456.14,3,111152.05,2,111152.04,Active,Rahul Gupta,REP000006,2025-05-11,2025-02-14
PLAN000332,INV0008883,CUST000889,Adani Power Solutions,2025-01-04,2025-04-04,17539.89,3,5846.63,3,0.00,Completed,Raj Gupta,REP000001,,2025-03-02
PLAN000333,INV0008903,CUST000891,Godrej Power Solutions,2025-04-08,2025-06-08,73099.40,2,36549.70,0,73099.40,Active,Kavita Mishra,REP000038,2025-05-08,
PLAN000334,INV0008905,CUST000891,Godrej Power Solutions,2025-04-04,2025-06-04,38569.42,2,19284.71,0,38569.42,Active,Sanjay Mishra,REP000027,2025-05-04,
PLAN000335,INV0008922,CUST000893,ICICI Power Solutions,2025-01-02,2025-04-02,160717.99,3,53572.66,3,0.01,Completed,Shalini Gupta,REP000019,,2025-04-02
PLAN000336,INV0008941,CUST000895,TCS Power Solutions,2025-03-22,2025-06-22,65148.11,3,21716.04,0,65148.11,Active,Shalini Mishra,REP000039,2025-04-21,
PLAN000337,INV0008953,CUST000896,Bajaj Power Solutions,2025-03-09,2025-06-09,95692.66,3,31897.55,1,63795.11,Active,Anil Gupta,REP000005,2025-05-09,2025-03-15
PLAN000338,INV0008974,CUST000898,Hindustan Power Solutions,2025-04-01,2025-07-01,167201.08,3,55733.69,0,167201.08,Active,Rani Gupta,REP000014,2025-05-01,
PLAN000339,INV0008984,CUST000899,Indian Power Solutions,2025-03-13,2025-05-13,105526.22,2,52763.11,1,52763.11,Active,Sanjay Gupta,REP000007,2025-05-13,2025-03-29
PLAN000340,INV0009003,CUST000901,Tata Steel Solutions,2024-11-27,2025-05-27,1662753.78,6,277125.63,4,554251.26,Active,Vijay Gupta,REP000003,2025-04-26,2024-12-31
PLAN000341,INV0009016,CUST000902,Reliance Steel Solutions,2025-02-02,2025-06-02,1535396.45,4,383849.11,0,1535396.45,Canceled,Vijay Gupta,REP000003,,
PLAN000342,INV0009075,CUST000908,Birla Steel Solutions,2025-03-12,2025-05-12,213541.30,2,106770.65,1,106770.65,Active,Rahul Mishra,REP000026,2025-05-12,2025-03-20
PLAN000343,INV0009101,CUST000911,Godrej Steel Solutions,2024-12-14,2025-04-14,1837956.06,4,459489.02,4,-0.02,Completed,Sunil Mishra,REP000024,,2025-04-05
PLAN000344,INV0009112,CUST000912,L&T Steel Solutions,2025-03-05,2025-09-05,1336471.84,6,222745.31,1,1113726.53,Active,Anil Joshi,REP000045,2025-05-05,2025-03-13
PLAN000345,INV0009121,CUST000913,ICICI Steel Solutions,2025-02-05,2025-04-05,165311.26,2,82655.63,2,0.00,Completed,Sanjay Mishra,REP000027,,2025-02-13
PLAN000346,INV0009142,CUST000915,TCS Steel Solutions,2024-12-16,2025-03-16,576718.88,3,192239.63,0,576718.88,Defaulted,Meena Gupta,REP000017,,
PLAN000347,INV0009146,CUST000915,TCS Steel Solutions,2025-03-03,2025-05-03,250582.61,2,125291.30,1,125291.31,Active,Anita Mishra,REP000036,2025-05-03,2025-04-12
PLAN000348,INV0009153,CUST000916,Bajaj Steel Solutions,2025-02-24,2025-04-24,59665.51,2,29832.76,1,29832.75,Active,Rahul Joshi,REP000046,2025-04-24,2025-03-13
PLAN000349,INV0009216,CUST000922,Reliance Textiles Solutions,2024-12-11,2025-05-11,1699751.46,5,339950.29,4,339950.30,Active,Neha Gupta,REP000012,2025-05-11,2024-12-22
PLAN000350,INV0009247,CUST000925,HDFC Textiles Solutions,2024-12-21,2025-04-21,527192.07,4,131798.02,3,131798.01,Active,Raj Gupta,REP000001,2025-04-21,2025-04-01
PLAN000351,INV0009253,CUST000926,Wipro Textiles Solutions,2025-04-04,2025-06-04,463224.43,2,231612.21,0,463224.43,Active,Raj Mishra,REP000021,2025-05-04,
PLAN000352,INV0009274,CUST000928,Birla Textiles Solutions,2025-03-07,2025-06-07,25808.15,3,8602.72,1,17205.43,Active,Sunita Mishra,REP000035,2025-05-07,2025-03-23
PLAN000353,INV0009291,CUST000930,JSW Textiles Solutions,2025-01-04,2025-05-04,583447.37,4,145861.84,3,145861.85,Active,Neha Gupta,REP000012,2025-05-04,2025-01-18
PLAN000354,INV0009292,CUST000930,JSW Textiles Solutions,2025-02-09,2025-04-09,474582.14,2,237291.07,2,0.00,Completed,Geeta Gupta,REP000020,,2025-02-17
PLAN000355,INV0009316,CUST000932,L&T Textiles Solutions,2025-02-12,2025-06-12,926369.52,4,231592.38,2,463184.76,Active,Rahul Gupta,REP000006,2025-05-13,2025-04-03
PLAN000356,INV0009341,CUST000935,TCS Textiles Solutions,2025-01-03,2025-04-03,263605.38,3,87868.46,0,263605.38,Defaulted,Pooja Mishra,REP000033,,
PLAN000357,INV0009366,CUST000937,HCL Textiles Solutions,2025-03-21,2025-06-21,47935.36,3,15978.45,0,47935.36,Canceled,Vijay Gupta,REP000003,,
PLAN000358,INV0009371,CUST000938,Hindustan Textiles Solutions,2025-04-13,2025-08-13,1317236.57,4,329309.14,0,1317236.57,Active,Sunita Gupta,REP000015,2025-05-13,
PLAN000359,INV0009374,CUST000938,Hindustan Textiles Solutions,2025-03-15,2025-08-15,3889552.47,5,777910.49,1,3111641.98,Active,Rajesh Gupta,REP000009,2025-05-15,2025-03-17
PLAN000360,INV0009411,CUST000942,Reliance Pharma Solutions,2025-01-02,2025-04-02,540023.92,3,180007.97,3,0.01,Completed,Meena Mishra,REP000037,,2025-04-09
PLAN000361,INV0009415,CUST000942,Reliance Pharma Solutions,2025-02-14,2025-05-14,466258.00,3,155419.33,2,155419.34,Active,Kavita Gupta,REP000018,2025-05-14,2025-03-28
PLAN000362,INV0009423,CUST000943,Infosys Pharma Solutions,2025-02-25,2025-04-25,80039.44,2,40019.72,1,40019.72,Active,Geeta Mishra,REP000040,2025-04-25,2025-04-02
PLAN000363,INV0009496,CUST000950,JSW Pharma Solutions,2025-02-06,2025-05-06,441552.99,3,147184.33,2,147184.33,Active,Raj Joshi,REP000041,2025-05-06,2025-03-04
PLAN000364,INV0009554,CUST000956,Bajaj Pharma Solutions,2025-02-07,2025-05-07,86730.75,3,28910.25,2,28910.25,Active,Sunita Gupta,REP000015,2025-05-07,2025-04-04
PLAN000365,INV0009556,CUST000956,Bajaj Pharma Solutions,2025-03-22,2025-05-22,87022.24,2,43511.12,0,87022.24,Active,Sanjay Gupta,REP000007,2025-04-21,
PLAN000366,INV0009566,CUST000957,HCL Pharma Solutions,2025-02-04,2025-05-04,73433.37,3,24477.79,2,24477.79,Active,Sunil Joshi,REP000044,2025-05-04,2025-03-21
PLAN000367,INV0009583,CUST000959,Indian Pharma Solutions,2025-02-27,2025-07-27,503031.66,5,100606.33,1,402425.33,Active,Neha Gupta,REP000012,2025-04-28,2025-03-07
PLAN000368,INV0009642,CUST000965,HDFC Healthcare Solutions,2025-03-09,2025-05-09,467179.10,2,233589.55,1,233589.55,Active,Ashok Joshi,REP000050,2025-05-09,2025-03-28
PLAN000369,INV0009671,CUST000968,Birla Healthcare Solutions,2024-12-09,2025-02-09,86166.75,2,43083.38,2,-0.01,Completed,Anil Gupta,REP000005,,2025-01-18
PLAN000370,INV0009673,CUST000968,Birla Healthcare Solutions,2025-03-17,2025-06-17,48366.76,3,16122.25,1,32244.51,Active,Anita Mishra,REP000036,2025-05-17,2025-04-07
PLAN000371,INV0009725,CUST000973,ICICI Healthcare Solutions,2025-01-29,2025-03-29,415772.51,2,207886.26,0,415772.51,Defaulted,Vijay Joshi,REP000043,,
PLAN000372,INV0009762,CUST000977,HCL Healthcare Solutions,2025-02-19,2025-04-19,103042.73,2,51521.36,1,51521.37,Active,Vijay Gupta,REP000003,2025-04-19,2025-04-12
PLAN000373,INV0009781,CUST000979,Indian Healthcare Solutions,2025-01-19,2025-08-19,2038374.77,7,291196.40,2,1455981.97,Active,Anita Gupta,REP000016,2025-04-19,2025-02-21
PLAN000374,INV0009882,CUST000989,Adani Retail Solutions,2025-02-02,2025-05-02,73915.50,3,24638.50,2,24638.50,Active,Meena Mishra,REP000037,2025-05-02,2025-02-11
PLAN000375,INV0009931,CUST000994,SBI Retail Solutions,2025-01-31,2025-05-31,1788048.98,4,447012.24,2,894024.50,Active,Rakesh Mishra,REP000028,2025-05-01,2025-03-01
PLAN000376,INV0009936,CUST000994,SBI Retail Solutions,2025-03-19,2025-10-19,1798959.67,7,256994.24,0,1798959.67,Active,Anita Gupta,REP000016,2025-04-18,
PLAN000377,INV0009951,CUST000996,Bajaj Retail Solutions,2025-04-14,2025-06-14,236239.58,2,118119.79,0,236239.58,Active,Vijay Mishra,REP000023,2025-05-14,
